,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays,region,urban
0,2,48.0,12.0,19.0,30.0,0.0,H00101-04-01,1,13.0,14.0,1,0
1,2,46.0,,,28.0,1.0,H00102-04-01,1,,5.0,1,0
2,1,39.0,,19.0,17.0,1.0,H00104-04-01,0,16.0,,1,1
3,1,41.0,,,17.0,0.0,H00110-04-01,0,17.0,,1,0
4,1,75.0,,,17.0,0.0,H00208-04-01,0,22.0,,1,1
5,2,43.0,,,38.0,1.0,H00209-04-01,0,17.0,,1,1
6,1,50.0,,,17.0,0.0,H00211-04-01,0,,,1,1
7,1,51.0,,,17.0,1.0,H00213-04-01,0,51.0,15.0,1,1
8,1,45.0,,,35.0,0.0,H00301-04-01,0,17.0,,1,1
9,1,46.0,,,17.0,0.0,H00302-04-01,0,14.0,14.0,1,1
10,2,62.0,,,30.0,0.0,H00303-04-01,0,16.0,,1,1
11,1,40.0,,,17.0,0.0,H00304-04-01,0,16.0,7.0,1,1
12,2,42.0,,,17.0,1.0,H00307-04-01,0,15.0,14.0,1,1
13,2,52.0,3.0,19.0,17.0,0.0,H00312-04-01,0,32.0,5.0,1,1
14,1,55.0,,,17.0,0.0,H00313-04-01,0,36.0,14.0,1,1
15,1,50.0,,,30.0,1.0,H00606-04-01,0,31.0,,1,1
16,1,46.0,,,17.0,0.0,H00704-04-01,0,23.0,,1,1
17,2,51.0,,,17.0,1.0,H00707-04-01,0,32.0,,1,1
18,1,52.0,73.0,14.0,17.0,1.0,H00710-04-01,0,12.0,,1,1
19,1,61.0,,,17.0,1.0,H00712-04-01,0,51.0,,1,1
20,1,34.0,,,57.0,1.0,H00801-04-01,0,,,1,1
21,1,56.0,,,34.0,0.0,H00802-04-01,0,17.0,3.0,1,1
22,2,51.0,,,17.0,1.0,H00803-04-01,0,34.0,,1,1
23,1,29.0,3.0,22.0,17.0,1.0,H00805-04-01,0,34.0,,1,1
24,1,45.0,,,17.0,1.0,H00809-04-01,0,15.0,,1,1
25,2,57.0,,,17.0,1.0,H00810-04-02,0,51.0,,1,1
26,1,27.0,,,17.0,1.0,H00810-04-03,0,51.0,30.0,1,1
27,1,40.0,,,17.0,1.0,H00811-04-01,0,17.0,,1,1
28,1,24.0,32.0,4.0,17.0,1.0,H01209-04-01,0,,,1,1
29,1,25.0,13.0,5.0,17.0,1.0,H01209-04-02,0,35.0,,1,1
30,1,70.0,,,17.0,1.0,H01209-04-03,0,14.0,,1,1
31,1,40.0,73.0,10.0,25.0,1.0,H01210-04-01,0,16.0,,1,1
32,1,33.0,6.0,1.0,17.0,0.0,H01401-04-01,0,61.0,,1,1
33,2,49.0,,,38.0,1.0,H01402-04-01,0,34.0,30.0,1,1
34,1,51.0,17.0,5.0,45.0,0.0,H01406-04-01,0,36.0,,1,1
35,2,60.0,,,17.0,1.0,H01409-04-01,0,,21.0,1,1
36,1,32.0,,,17.0,0.0,H01601-04-01,0,34.0,,1,1
37,1,73.0,,,32.0,0.0,H01604-04-01,0,61.0,,1,1
38,2,54.0,,,50.0,1.0,H01605-04-01,0,51.0,30.0,1,1
39,2,54.0,,99.0,17.0,1.0,H01607-04-01,0,14.0,,1,1
40,2,29.0,,,17.0,1.0,H01612-04-01,0,,,1,1
41,1,48.0,,,17.0,1.0,H01801-04-01,0,33.0,,1,1
42,2,34.0,,17.0,17.0,0.0,H01806-04-01,0,41.0,,1,1
43,1,36.0,,,17.0,1.0,H01806-04-02,0,17.0,7.0,1,0
44,2,38.0,23.0,10.0,35.0,0.0,H01809-04-01,0,32.0,4.0,1,1
45,2,64.0,,,17.0,1.0,H01813-04-01,0,16.0,30.0,1,1
46,2,33.0,,,17.0,0.0,H02108-04-01,0,31.0,,1,1
47,1,72.0,,,17.0,1.0,H02110-04-01,0,17.0,7.0,1,1
48,1,41.0,,,35.0,1.0,H02111-04-01,0,34.0,2.0,1,1
49,2,44.0,,,25.0,1.0,H02113-04-01,0,15.0,7.0,1,1
50,2,40.0,,,11.0,,H02203-04-01,0,34.0,,1,1
51,1,54.0,,,38.0,1.0,H02205-04-01,0,61.0,,1,1
52,1,44.0,,,18.0,1.0,H02206-04-01,0,31.0,,1,1
53,2,45.0,,,17.0,1.0,H02207-04-01,0,41.0,,1,1
54,1,30.0,8.0,19.0,17.0,,H02304-04-01,0,32.0,4.0,1,0
55,2,73.0,,,17.0,1.0,H02305-04-01,0,13.0,30.0,1,1
56,2,63.0,,,17.0,0.0,H02310-04-01,0,17.0,7.0,1,1
57,1,36.0,34.0,5.0,47.0,1.0,H02401-04-01,0,13.0,2.0,1,0
58,1,41.0,,10.0,47.0,0.0,H02407-04-01,0,41.0,,1,1
59,2,43.0,34.0,10.0,18.0,0.0,H02409-04-01,0,17.0,,1,1
60,1,39.0,,,45.0,1.0,H02412-04-01,0,34.0,,1,1
61,1,42.0,,,17.0,1.0,H02507-04-01,0,34.0,,1,1
62,1,25.0,34.0,1.0,12.0,0.0,H02601-04-01,0,61.0,,1,1
63,1,59.0,,,12.0,0.0,H02601-04-02,0,34.0,,1,1
64,1,79.0,,,17.0,1.0,H02602-04-01,0,16.0,,1,1
65,1,65.0,,,25.0,1.0,H02608-04-01,0,14.0,6.0,1,1
66,1,28.0,,5.0,25.0,1.0,H02608-04-02,0,51.0,,1,1
67,1,59.0,,,28.0,0.0,H02609-04-01,0,14.0,,1,1
68,1,41.0,4.0,19.0,17.0,1.0,H02703-04-02,0,51.0,,1,1
69,1,51.0,,,17.0,1.0,H02705-04-01,1,15.0,,1,1
70,1,23.0,13.0,4.0,17.0,0.0,H02705-04-02,0,36.0,,1,1
71,1,27.0,4.0,19.0,17.0,1.0,H02706-04-01,0,35.0,,1,1
72,2,74.0,,,17.0,0.0,H02710-04-01,0,16.0,,1,1
73,1,70.0,,,30.0,1.0,H02711-04-01,0,41.0,,1,1
74,1,22.0,9.0,5.0,30.0,0.0,H02711-04-02,0,,,1,1
75,1,38.0,,,17.0,1.0,H02711-04-03,0,61.0,,1,1
76,1,47.0,,,17.0,1.0,H02802-04-01,0,36.0,,1,1
77,1,53.0,,,17.0,1.0,H02803-04-01,0,14.0,,1,1
78,2,47.0,4.0,10.0,17.0,1.0,H02811-04-01,0,51.0,,1,1
79,1,30.0,,19.0,17.0,1.0,H03001-04-01,0,32.0,,1,0
80,1,30.0,17.0,19.0,17.0,1.0,H03003-04-01,0,17.0,,1,1
81,2,73.0,,,30.0,0.0,H03005-04-01,0,41.0,,1,1
82,2,68.0,,,17.0,1.0,H03006-04-01,1,22.0,,1,1
83,1,37.0,,,21.0,1.0,H03010-04-01,0,36.0,,1,1
84,2,41.0,,,17.0,,H03401-04-01,0,34.0,,1,1
85,2,29.0,,,17.0,1.0,H03408-04-01,1,,,1,0
86,2,64.0,,,17.0,1.0,H03409-04-01,0,15.0,,1,1
87,1,24.0,,,17.0,1.0,H03409-04-02,0,36.0,,1,1
88,1,42.0,,,17.0,1.0,H03410-04-01,0,33.0,,1,1
89,1,25.0,,,17.0,1.0,H03410-04-02,1,10.0,,1,1
90,1,52.0,,,17.0,1.0,H03503-04-01,0,17.0,,1,1
91,1,46.0,,,17.0,,H03511-04-01,0,11.0,,1,1
92,1,44.0,2.0,99.0,17.0,1.0,H03512-04-01,1,,,1,1
93,1,69.0,,,17.0,0.0,H03515-04-01,0,16.0,,1,1
94,1,33.0,1.0,19.0,17.0,1.0,H03601-04-01,1,,,1,0
95,2,62.0,,,25.0,0.0,H03602-04-04,1,,30.0,1,0
96,2,54.0,,,28.0,1.0,H03603-04-05,0,16.0,10.0,1,0
97,2,67.0,,,17.0,1.0,H03604-04-04,0,,,1,0
98,1,36.0,,,17.0,1.0,H03604-04-08,0,34.0,,1,0
99,1,58.0,,,17.0,1.0,H03604-04-09,0,34.0,,1,0
100,1,77.0,,,96.0,1.0,H03605-04-02,0,13.0,,1,0
101,1,42.0,,,17.0,1.0,H03607-04-01,0,13.0,6.0,1,0
102,2,47.0,,,30.0,1.0,H03608-04-01,0,12.0,,1,0
103,1,55.0,,,17.0,1.0,H03704-04-01,0,15.0,7.0,1,0
104,2,54.0,,,28.0,1.0,H03705-04-01,0,34.0,12.0,1,0
105,1,79.0,,,17.0,1.0,H03706-04-01,1,13.0,5.0,1,0
106,2,53.0,,,17.0,0.0,H03707-04-01,0,15.0,14.0,1,0
107,2,23.0,,,30.0,0.0,H03707-04-02,0,17.0,6.0,1,1
108,1,53.0,,,17.0,1.0,H03709-04-01,0,13.0,,1,0
109,1,31.0,17.0,19.0,32.0,0.0,H03711-04-02,1,32.0,,1,0
110,2,30.0,,19.0,30.0,0.0,H03711-04-03,1,12.0,,1,0
111,1,31.0,17.0,21.0,32.0,0.0,H03711-04-04,0,13.0,,1,0
112,1,49.0,,,17.0,0.0,H03804-04-01,0,32.0,,1,1
113,2,101.0,,,17.0,0.0,H03807-04-01,1,12.0,14.0,1,1
114,2,54.0,22.0,10.0,17.0,0.0,H03809-04-01,0,17.0,4.0,1,1
115,1,54.0,8.0,19.0,17.0,1.0,H03810-04-01,0,51.0,,1,1
116,2,35.0,,,17.0,1.0,H03811-04-01,0,51.0,5.0,1,1
117,2,33.0,,,17.0,0.0,H03813-04-01,0,41.0,,1,1
118,1,28.0,,,17.0,0.0,H03901-04-01,0,17.0,,1,0
119,2,39.0,,,17.0,0.0,H03902-04-01,0,15.0,7.0,1,0
120,2,31.0,,14.0,17.0,1.0,H03903-04-01,0,31.0,,1,0
121,2,93.0,,,34.0,0.0,H03906-04-01,1,,,1,0
122,1,36.0,6.0,88.0,17.0,1.0,H03907-04-01,0,32.0,6.0,1,0
123,1,35.0,,,17.0,0.0,H03908-04-01,0,17.0,3.0,1,0
124,1,44.0,,19.0,34.0,0.0,H03909-04-01,0,15.0,,1,0
125,1,74.0,,,34.0,1.0,H03909-04-02,0,15.0,,1,0
126,2,47.0,,,50.0,1.0,H03910-04-01,0,34.0,14.0,1,0
127,1,56.0,,9.0,17.0,,H04001-04-01,0,21.0,,1,0
128,1,42.0,,20.0,17.0,1.0,H04002-04-01,0,,,1,0
129,1,52.0,17.0,19.0,17.0,1.0,H04003-04-01,0,41.0,,1,0
130,1,31.0,4.0,1.0,17.0,1.0,H04003-04-03,0,36.0,4.0,1,1
131,2,45.0,,,17.0,1.0,H04004-04-01,0,51.0,,1,1
132,1,33.0,,,45.0,1.0,H04005-04-01,0,15.0,,1,0
133,1,81.0,,,96.0,0.0,H04006-04-01,1,,10.0,1,0
134,2,59.0,,,17.0,1.0,H04007-04-01,0,,4.0,1,0
135,1,58.0,,,45.0,0.0,H04009-04-01,0,13.0,7.0,1,0
136,1,50.0,,,45.0,0.0,H04010-04-01,0,34.0,5.0,1,0
137,1,25.0,34.0,19.0,45.0,1.0,H04010-04-02,0,51.0,7.0,1,0
138,1,68.0,,,17.0,1.0,H04011-04-01,0,21.0,10.0,1,1
139,2,30.0,,19.0,17.0,1.0,H04011-04-02,0,31.0,,1,1
140,2,54.0,,,18.0,1.0,H04201-04-01,0,31.0,6.0,1,0
141,1,37.0,17.0,10.0,17.0,1.0,H04202-04-01,0,17.0,,1,1
142,1,43.0,,,17.0,1.0,H04203-04-01,0,17.0,,1,0
143,1,41.0,8.0,5.0,17.0,0.0,H04204-04-01,0,16.0,,1,0
144,1,39.0,,,25.0,1.0,H04205-04-01,1,12.0,7.0,1,0
145,1,64.0,,,96.0,0.0,H04206-04-01,0,16.0,,1,0
146,1,30.0,,,73.0,1.0,H04207-04-01,0,16.0,,1,0
147,1,20.0,,,17.0,0.0,H04208-04-01,0,17.0,7.0,1,1
148,1,43.0,,,17.0,1.0,H04208-04-02,0,16.0,,1,0
149,2,45.0,2.0,19.0,17.0,1.0,H04209-04-01,0,17.0,7.0,1,0
150,1,31.0,,,17.0,0.0,H04210-04-01,0,31.0,,1,0
151,2,53.0,,,17.0,1.0,H04501-04-01,0,15.0,0.0,1,1
152,2,58.0,,,32.0,1.0,H04505-04-01,0,51.0,,1,1
153,2,24.0,,19.0,17.0,1.0,H04508-04-02,0,32.0,,1,1
154,2,52.0,,,17.0,1.0,H04508-04-03,0,15.0,4.0,1,1
155,1,25.0,,,17.0,0.0,H04508-04-04,0,32.0,,1,1
156,1,45.0,,,17.0,1.0,H04509-04-01,0,16.0,,1,0
157,2,55.0,,,17.0,1.0,H04602-04-01,1,,10.0,1,0
158,1,85.0,,,30.0,1.0,H04603-04-01,1,13.0,15.0,1,0
159,2,79.0,,,17.0,1.0,H04604-04-01,1,,30.0,1,0
160,1,38.0,,,17.0,1.0,H04606-04-01,0,17.0,,1,0
161,1,67.0,,,17.0,1.0,H04606-04-02,0,22.0,,1,0
162,2,49.0,,,30.0,1.0,H04607-04-01,1,,5.0,1,0
163,1,33.0,,,30.0,1.0,H04608-04-01,0,16.0,14.0,1,0
164,2,38.0,,,30.0,0.0,H04609-04-01,0,32.0,7.0,1,0
165,1,69.0,,,17.0,0.0,H04610-04-01,0,16.0,,1,0
166,1,20.0,2.0,19.0,17.0,0.0,H04610-04-02,0,15.0,,1,0
167,1,23.0,2.0,19.0,17.0,0.0,H04610-04-03,0,16.0,,1,0
168,1,34.0,8.0,1.0,28.0,0.0,H04801-04-01,1,12.0,14.0,1,1
169,1,60.0,,,17.0,0.0,H04802-04-01,1,,6.0,1,0
170,1,31.0,,,17.0,1.0,H04802-04-02,0,15.0,,1,0
171,1,27.0,,1.0,17.0,1.0,H04802-04-03,0,51.0,,1,1
172,2,65.0,,,17.0,,H04803-04-02,0,,10.0,1,0
173,2,54.0,,,17.0,1.0,H04804-04-01,0,16.0,14.0,1,0
174,2,71.0,,,30.0,0.0,H04805-04-01,1,,30.0,1,0
175,1,33.0,,,17.0,0.0,H04806-04-01,0,33.0,,1,0
176,1,74.0,,,32.0,0.0,H04807-04-01,0,16.0,,1,0
177,1,60.0,,,17.0,1.0,H04808-04-01,0,15.0,,1,1
178,2,26.0,,4.0,17.0,1.0,H04808-04-02,0,51.0,,1,1
179,2,54.0,,,30.0,1.0,H04810-04-01,0,12.0,7.0,1,0
180,1,42.0,,19.0,17.0,0.0,H04903-04-01,0,15.0,7.0,1,0
181,1,65.0,,,28.0,1.0,H04905-04-01,1,,6.0,1,0
182,1,56.0,,,17.0,1.0,H04907-04-01,0,16.0,10.0,1,0
183,1,39.0,,,17.0,1.0,H04908-04-01,0,13.0,4.0,1,0
184,1,44.0,,,17.0,1.0,H04909-04-01,0,15.0,,1,0
185,1,53.0,,,17.0,1.0,H04910-04-01,0,14.0,,1,0
186,1,33.0,,,28.0,1.0,H04912-04-01,0,17.0,7.0,1,0
187,2,63.0,,,32.0,1.0,H04913-04-01,0,13.0,7.0,1,0
188,1,26.0,14.0,19.0,25.0,0.0,H04913-04-02,0,13.0,7.0,1,0
189,1,27.0,73.0,19.0,25.0,1.0,H04913-04-03,0,16.0,,1,0
190,1,21.0,,19.0,25.0,0.0,H04913-04-04,0,13.0,,1,0
191,1,49.0,,,25.0,1.0,H04913-04-05,1,,7.0,1,0
192,1,39.0,,,17.0,,H04913-04-06,0,15.0,,1,0
193,2,84.0,,,30.0,1.0,H05002-04-01,1,,14.0,1,0
194,1,43.0,,,28.0,1.0,H05003-04-01,0,12.0,7.0,1,0
195,1,17.0,,19.0,28.0,0.0,H05003-04-02,0,32.0,,1,1
196,2,51.0,2.0,10.0,17.0,1.0,H05004-04-01,0,16.0,10.0,1,0
197,2,69.0,,,30.0,0.0,H05005-04-01,1,,,1,0
198,2,55.0,13.0,10.0,28.0,1.0,H05006-04-01,0,16.0,14.0,1,0
199,1,44.0,,,17.0,1.0,H05007-04-01,0,34.0,,1,0
200,2,50.0,,,30.0,1.0,H05008-04-01,0,15.0,3.0,1,0
201,2,53.0,,,17.0,1.0,H05009-04-01,0,34.0,6.0,1,0
202,1,44.0,,,25.0,1.0,H05010-04-01,0,17.0,7.0,1,0
203,2,54.0,,,17.0,1.0,H05101-04-01,0,17.0,4.0,1,0
204,1,40.0,,,96.0,1.0,H05102-04-01,0,14.0,,1,0
205,1,36.0,,19.0,17.0,0.0,H05103-04-01,0,14.0,,1,0
206,2,33.0,,,17.0,1.0,H05104-04-01,0,15.0,20.0,1,0
207,1,53.0,41.0,19.0,17.0,1.0,H05105-04-01,0,34.0,,1,0
208,2,58.0,,,17.0,0.0,H05106-04-01,0,34.0,16.0,1,0
209,1,56.0,,,17.0,0.0,H05107-04-01,0,17.0,21.0,1,0
210,1,39.0,,,17.0,0.0,H05108-04-01,0,14.0,5.0,1,0
211,2,62.0,,,17.0,0.0,H05109-04-01,0,15.0,7.0,1,0
212,2,27.0,,,17.0,0.0,H05110-04-01,0,31.0,14.0,1,0
213,2,32.0,32.0,5.0,17.0,1.0,H05301-04-01,0,41.0,,1,1
214,1,40.0,,,17.0,0.0,H05302-04-01,0,17.0,,1,0
215,1,38.0,,,17.0,1.0,H05303-04-01,0,16.0,,1,0
216,1,59.0,,10.0,17.0,1.0,H05304-04-01,0,16.0,6.0,1,0
217,1,53.0,,,17.0,1.0,H05305-04-01,0,17.0,8.0,1,0
218,1,27.0,17.0,19.0,17.0,1.0,H05305-04-02,0,17.0,,1,1
219,1,21.0,17.0,19.0,17.0,0.0,H05305-04-03,1,,,1,0
220,1,51.0,,19.0,30.0,1.0,H05305-04-05,0,36.0,,1,1
221,2,59.0,,,73.0,0.0,H05306-04-01,1,,21.0,1,0
222,1,49.0,,,17.0,0.0,H05306-04-02,1,14.0,,1,0
223,1,31.0,,,17.0,1.0,H05308-04-01,1,15.0,3.0,1,0
224,1,56.0,,,17.0,1.0,H05309-04-01,0,17.0,4.0,1,0
225,1,65.0,,,17.0,0.0,H05310-04-01,1,14.0,,1,0
226,2,48.0,,,17.0,0.0,H05310-04-02,0,16.0,4.0,1,0
227,2,56.0,,,17.0,0.0,H05403-04-01,0,17.0,,1,0
228,2,54.0,,,17.0,0.0,H05404-04-01,0,34.0,14.0,1,0
229,2,75.0,,,17.0,1.0,H05405-04-01,1,,7.0,1,0
230,2,40.0,,19.0,17.0,1.0,H05406-04-01,1,,5.0,1,0
231,2,71.0,,,17.0,1.0,H05407-04-01,0,,17.0,1,0
232,1,33.0,,88.0,17.0,1.0,H05407-04-02,0,17.0,,1,0
233,1,29.0,,1.0,17.0,1.0,H05409-04-01,0,34.0,7.0,1,0
234,1,46.0,,,17.0,1.0,H05410-04-01,0,33.0,,1,0
235,1,31.0,,,17.0,1.0,H05412-04-01,0,16.0,,1,0
236,1,58.0,,,30.0,1.0,H05412-04-02,0,36.0,,1,0
237,2,31.0,,,12.0,0.0,H05412-04-03,0,17.0,,4,1
238,2,47.0,,,18.0,1.0,H05701-04-01,0,41.0,,1,0
239,1,37.0,,,17.0,1.0,H05702-04-01,0,14.0,,1,0
240,2,76.0,,,17.0,0.0,H05703-04-01,0,15.0,,1,0
241,1,56.0,,,17.0,1.0,H05704-04-01,0,41.0,,1,0
242,2,61.0,,,17.0,1.0,H05705-04-01,0,16.0,,1,0
243,1,35.0,,,17.0,1.0,H05706-04-01,0,35.0,2.0,1,0
244,2,77.0,,,17.0,,H05707-04-01,1,,14.0,1,0
245,2,61.0,,,17.0,1.0,H05709-04-01,0,15.0,7.0,1,0
246,1,52.0,,,17.0,1.0,H05710-04-01,0,16.0,,1,0
247,2,45.0,,19.0,17.0,1.0,H05711-04-01,0,32.0,2.0,1,0
248,1,25.0,,19.0,17.0,1.0,H05711-04-02,0,51.0,,1,0
249,2,34.0,,,38.0,1.0,H05901-04-01,0,33.0,2.0,1,1
250,1,33.0,,19.0,17.0,,H05903-04-01,0,51.0,,1,0
251,1,46.0,,,32.0,1.0,H05904-04-01,0,61.0,,1,1
252,1,44.0,,10.0,32.0,1.0,H05906-04-01,0,32.0,6.0,1,1
253,1,62.0,,,32.0,1.0,H05906-04-02,0,17.0,6.0,4,0
254,2,60.0,,,28.0,1.0,H05910-04-01,0,13.0,7.0,1,1
255,1,36.0,,,17.0,1.0,H06001-04-01,0,51.0,,1,0
256,1,48.0,,,17.0,1.0,H06005-04-01,0,36.0,,1,1
257,1,42.0,,19.0,17.0,,H06006-04-01,0,15.0,,1,1
258,1,44.0,,,17.0,1.0,H06007-04-01,0,17.0,,1,1
259,1,44.0,,19.0,17.0,,H06008-04-01,0,34.0,,1,0
260,1,43.0,21.0,19.0,17.0,1.0,H06009-04-01,0,36.0,7.0,1,1
261,2,46.0,,,25.0,1.0,H06010-04-01,0,41.0,6.0,1,1
262,1,60.0,,19.0,30.0,0.0,H06101-04-01,0,11.0,7.0,1,0
263,1,49.0,,,17.0,1.0,H06102-04-01,0,32.0,,1,0
264,2,47.0,15.0,9.0,30.0,1.0,H06103-04-01,0,11.0,7.0,1,0
265,1,46.0,,,17.0,1.0,H06104-04-01,0,12.0,12.0,1,0
266,2,24.0,,,30.0,1.0,H06104-04-02,0,33.0,14.0,1,1
267,2,38.0,,,96.0,,H06104-04-03,1,,,1,1
268,1,44.0,,,17.0,1.0,H06105-04-01,0,17.0,,1,0
269,1,44.0,,,17.0,1.0,H06105-04-01,0,17.0,,1,0
270,1,44.0,,,17.0,1.0,H06105-04-01,0,17.0,,1,0
271,1,44.0,,,17.0,1.0,H06105-04-01,0,17.0,,1,0
272,1,44.0,,,17.0,1.0,H06105-04-02,0,16.0,,1,0
273,1,44.0,,,17.0,1.0,H06105-04-02,0,16.0,,1,0
274,1,44.0,,,17.0,1.0,H06105-04-02,0,16.0,,1,0
275,1,44.0,,,17.0,1.0,H06105-04-02,0,16.0,,1,0
276,2,37.0,,,17.0,1.0,H06105-04-02,0,16.0,,1,0
277,1,41.0,,19.0,17.0,,H06107-04-01,0,,,1,0
278,2,25.0,,5.0,17.0,1.0,H06107-04-01,0,32.0,3.0,1,0
279,2,63.0,,,96.0,1.0,H06108-04-01,1,,5.0,1,0
280,1,58.0,,,17.0,0.0,H06109-04-01,0,41.0,,1,0
281,1,76.0,,,17.0,0.0,H06110-04-01,0,15.0,7.0,1,0
282,2,76.0,,,28.0,0.0,H06201-04-01,1,,25.0,1,0
283,2,33.0,,,28.0,1.0,H06203-04-01,0,15.0,7.0,1,0
284,1,39.0,,,28.0,0.0,H06207-04-01,1,,14.0,1,0
285,1,33.0,73.0,19.0,28.0,0.0,H06208-04-01,0,13.0,,1,0
286,1,77.0,,,28.0,0.0,H06209-04-01,1,11.0,21.0,4,0
287,2,40.0,15.0,19.0,17.0,1.0,H06301-04-01,0,15.0,6.0,1,0
288,1,36.0,33.0,1.0,32.0,0.0,H06302-04-01,0,15.0,18.0,1,0
289,2,73.0,,,25.0,1.0,H06303-04-01,1,15.0,7.0,1,0
290,1,58.0,,,28.0,1.0,H06303-04-02,0,32.0,,1,0
291,2,28.0,,,25.0,1.0,H06303-04-03,0,17.0,2.0,1,0
292,2,49.0,,,38.0,1.0,H06305-04-01,0,13.0,,1,1
293,1,32.0,,,32.0,1.0,H06306-04-01,0,14.0,,1,1
294,2,33.0,,9.0,32.0,0.0,H06307-04-01,1,,7.0,1,0
295,2,32.0,,,28.0,1.0,H06309-04-01,1,13.0,14.0,1,1
296,1,70.0,,,38.0,,H06310-04-01,0,17.0,,1,1
297,1,25.0,16.0,4.0,17.0,0.0,H06310-04-02,0,16.0,,1,1
298,1,32.0,70.0,19.0,17.0,1.0,H06310-04-03,0,34.0,,4,1
299,1,32.0,,,17.0,0.0,H06401-04-01,0,13.0,,1,0
300,1,54.0,,,12.0,1.0,H06402-04-01,0,14.0,7.0,1,0
301,2,74.0,,,12.0,0.0,H06403-04-01,1,,14.0,1,0
302,1,36.0,,,12.0,1.0,H06404-04-01,0,16.0,4.0,1,0
303,1,70.0,,,17.0,1.0,H06405-04-01,0,13.0,,1,0
304,1,30.0,16.0,19.0,30.0,0.0,H06406-04-01,0,17.0,,1,0
305,2,42.0,13.0,19.0,30.0,1.0,H06408-04-01,1,,,1,0
306,1,31.0,31.0,19.0,12.0,1.0,H06409-04-01,0,33.0,,1,0
307,1,48.0,,,17.0,,H06410-04-01,0,15.0,,1,0
308,1,46.0,,,12.0,0.0,H06411-04-01,0,16.0,,1,0
309,1,42.0,51.0,5.0,17.0,0.0,H06601-04-01,0,51.0,,1,0
310,2,45.0,,,17.0,1.0,H06602-04-01,0,33.0,,1,0
311,1,39.0,,10.0,32.0,0.0,H06603-04-01,0,17.0,7.0,1,0
312,2,92.0,,,17.0,0.0,H06604-04-01,1,,30.0,1,0
313,1,84.0,,,26.0,,H06605-04-01,1,,,1,0
314,1,38.0,71.0,5.0,17.0,1.0,H06606-04-01,0,33.0,,1,0
315,2,89.0,,,17.0,,H06607-04-01,1,,,1,0
316,2,37.0,16.0,19.0,32.0,1.0,H06608-04-01,0,17.0,4.0,1,0
317,1,44.0,,19.0,17.0,1.0,H06609-04-01,0,61.0,,1,0
318,2,67.0,,,17.0,1.0,H06701-04-01,0,14.0,30.0,1,0
319,1,31.0,17.0,21.0,28.0,1.0,H06702-04-01,0,15.0,,1,0
320,2,54.0,,,13.0,0.0,H06703-04-01,0,16.0,18.0,1,0
321,2,45.0,,,17.0,1.0,H06704-04-01,0,14.0,7.0,1,0
322,1,67.0,,,30.0,1.0,H06706-04-01,1,,10.0,1,0
323,1,68.0,,,17.0,1.0,H06707-04-01,0,21.0,7.0,1,0
324,1,28.0,,19.0,17.0,1.0,H06707-04-02,0,32.0,,1,0
325,1,67.0,,,16.0,0.0,H06708-04-01,1,,2.0,1,0
326,2,38.0,,,17.0,1.0,H06709-04-01,0,32.0,,1,0
327,2,69.0,,,17.0,1.0,H06710-04-01,0,17.0,18.0,1,0
328,2,33.0,,,17.0,1.0,H06801-04-01,0,15.0,7.0,1,1
329,1,29.0,,,30.0,1.0,H06802-04-01,0,35.0,3.0,1,1
330,2,63.0,,,17.0,1.0,H06803-04-01,1,,7.0,1,0
331,2,39.0,21.0,19.0,17.0,1.0,H06805-04-01,0,51.0,5.0,1,1
332,2,49.0,,,17.0,1.0,H06806-04-01,0,13.0,12.0,1,1
333,2,53.0,,,17.0,1.0,H06807-04-01,0,16.0,30.0,1,0
334,2,43.0,,,32.0,1.0,H06810-04-01,0,16.0,20.0,1,0
335,1,52.0,,,17.0,1.0,H06810-04-02,1,16.0,,1,0
336,2,34.0,,,28.0,0.0,H06901-04-01,0,16.0,,1,1
337,2,51.0,,,57.0,1.0,H06902-04-01,1,,,1,1
338,1,43.0,,,57.0,1.0,H06903-04-01,0,33.0,,1,1
339,2,94.0,,,17.0,0.0,H06906-04-01,1,12.0,10.0,1,1
340,2,65.0,,,17.0,1.0,H06908-04-01,0,13.0,4.0,1,1
341,1,56.0,,,31.0,0.0,H06909-04-01,0,51.0,21.0,1,1
342,2,45.0,,,34.0,,H06911-04-01,0,11.0,,1,1
343,2,28.0,,,57.0,0.0,H06911-04-03,0,51.0,,1,0
344,2,46.0,,,17.0,1.0,H06914-04-01,0,16.0,6.0,1,0
345,1,49.0,,,35.0,1.0,H07002-04-02,0,14.0,,1,1
346,1,39.0,,,17.0,1.0,H07003-04-01,0,15.0,7.0,1,1
347,1,56.0,,,17.0,1.0,H07007-04-01,0,17.0,6.0,1,1
348,1,26.0,,,35.0,1.0,H07007-04-02,0,61.0,7.0,1,1
349,2,46.0,,,17.0,0.0,H07008-04-01,1,12.0,,1,1
350,1,63.0,,,17.0,1.0,H07009-04-01,0,17.0,,1,1
351,1,54.0,,,17.0,1.0,H07010-04-01,0,41.0,7.0,1,1
352,2,26.0,17.0,19.0,18.0,1.0,H07201-04-01,0,17.0,,1,0
353,1,34.0,,,17.0,0.0,H07202-04-01,0,14.0,2.0,1,0
354,2,28.0,,,35.0,,H07202-04-02,1,13.0,14.0,1,0
355,1,28.0,,,35.0,0.0,H07203-04-01,0,16.0,3.0,1,0
356,2,63.0,,,47.0,0.0,H07204-04-01,1,12.0,7.0,1,0
